"X18S_BL040126_022." "X18S_BL040223_022." "X18S_BL040322_022." "X18S_BL040419_022." "X18S_BL040525_022." "X18S_BL040628_022." "X18S_BL040719_022." "X18S_BL040831_022." "X18S_BL040929_022." "X18S_BL041019_022." "X18S_BL041116_022." "X18S_BL041214_022." "X18S_BL050120_022." "X18S_BL050215_022." "X18S_BL050309_022." "X18S_BL050413_022." "X18S_BL050510_022." "X18S_BL050607_022." "X18S_BL050705_022." "X18S_BL050803_022." "X18S_BL050913_022." "X18S_BL051004_022." "X18S_BL051108_022." "X18S_BL051213_022."
"OTU_1118" 0 0 0 0 0 0 0 0 112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1119" 18 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 16 101
"OTU_112" 218 0 9 8 0 0 0 0 132 235 232 391 597 104 0 155 35 26 0 492 78 33 976 246
"OTU_1120" 0 0 0 0 0 99 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0
"OTU_1121" 0 0 0 0 0 0 132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1122" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 49
"OTU_1123" 16 0 0 4 0 0 0 0 0 36 115 0 0 0 0 0 0 0 0 0 0 0 0 11
"OTU_1124" 0 0 4 0 0 0 77 69 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 22
"OTU_1125" 2 0 3 6 0 0 0 0 0 0 0 0 131 0 0 0 0 0 0 0 6 0 0 3
"OTU_1126" 0 0 0 0 0 0 0 0 0 0 234 0 0 0 0 0 0 0 0 0 0 0 0 3
"OTU_1127" 0 8 12 10 0 0 0 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 0 23
"OTU_1128" 0 0 0 0 0 0 115 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 51 1
"OTU_1129" 0 0 0 0 0 0 0 0 0 0 12 0 8 0 0 0 0 0 0 0 0 0 0 116
"OTU_113" 0 0 0 0 0 0 0 0 272 85 0 0 0 0 0 0 1419 0 0 2040 0 0 0 0
"OTU_1130" 0 0 0 0 0 0 0 0 0 0 0 0 76 0 0 0 0 0 0 0 0 0 0 54
"OTU_1131" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 148
"OTU_1132" 0 0 0 0 0 0 0 0 0 0 12 0 29 0 0 0 0 0 0 0 0 0 0 115
"OTU_1133" 54 0 0 0 0 0 0 0 0 0 0 0 12 50 0 0 0 0 0 0 5 0 0 56
"OTU_1134" 0 0 0 0 0 0 0 0 0 0 41 0 39 0 0 0 0 0 0 0 64 0 0 0
"OTU_1135" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 114 0 0 0 0 0 37
"OTU_1136" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 0
"OTU_1137" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 115 0 0 0 0 0
"OTU_1138" 0 0 0 0 0 137 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1139" 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 346 0 0 0 0 0 0 0
"OTU_114" 34 117 8 68 0 0 0 0 0 1 278 309 79 35 0 0 21 8 32 0 10 0 1026 1344
"OTU_1140" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 134
"OTU_1141" 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1142" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 131 0
"OTU_1143" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 129 0 0
"OTU_1144" 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 112
"OTU_1145" 0 0 0 0 0 0 249 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1146" 116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0
"OTU_1147" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125 0 0 0 0 0 0
"OTU_1148" 0 21 134 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0
"OTU_1149" 0 120 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_115" 1936 480 279 44 0 0 0 0 0 0 0 173 583 224 1 0 0 0 0 0 179 0 0 67
"OTU_1150" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 82
"OTU_1151" 141 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1152" 0 0 0 0 0 0 0 131 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 11
"OTU_1153" 0 0 0 0 0 0 0 0 84 0 7 0 5 0 0 0 0 2 0 0 0 0 0 42
"OTU_1154" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 119
"OTU_1155" 0 0 108 12 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 2
"OTU_1156" 0 0 0 0 0 0 0 0 69 0 8 0 0 0 0 0 0 40 0 0 0 0 0 3
"OTU_1157" 149 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0
"OTU_1158" 102 0 0 0 0 0 0 0 0 13 0 0 0 29 0 0 0 0 0 0 0 0 0 0
"OTU_1159" 0 0 0 0 0 116 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 2
"OTU_116" 761 410 33 0 1 0 1 0 1316 0 2 60 344 503 0 0 0 0 0 0 54 0 455 18
"OTU_1160" 0 0 0 0 0 0 0 109 0 0 2 0 6 13 0 0 0 0 0 0 7 0 0 37
"OTU_1161" 0 0 0 0 0 0 111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1162" 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 51 73
"OTU_1163" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 149 0 0 0 0 0 0 0
"OTU_1164" 0 0 0 0 0 141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1165" 0 0 41 8 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 16 37 0 0
"OTU_1166" 46 0 0 0 0 0 0 0 0 2 22 0 0 0 0 0 0 0 0 0 0 0 0 40
"OTU_1167" 0 0 21 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 141 0 0 0 0
"OTU_1168" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 117 16
"OTU_1169" 118 0 11 4 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0
"OTU_117" 215 351 128 8 0 0 14 5 135 166 268 398 491 20 0 10 0 1 0 0 62 0 437 913
"OTU_1170" 0 0 0 0 0 0 0 122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1171" 0 0 0 0 0 0 0 0 0 0 118 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1172" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 113 0 0 0 0 0 0
"OTU_1173" 0 0 0 0 0 0 2 11 0 0 10 0 1 0 0 0 0 0 0 0 0 0 52 56
"OTU_1174" 0 0 0 0 0 0 0 116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1175" 41 0 4 88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1176" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85 51
"OTU_1177" 0 0 0 0 0 0 0 49 106 0 21 0 0 0 0 0 0 20 0 0 0 0 0 69
"OTU_1178" 0 0 0 0 0 0 144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1179" 0 0 0 0 0 0 0 0 0 0 48 0 28 41 0 0 0 0 0 0 8 0 0 31
"OTU_118" 275 0 28 0 46 577 22 0 334 210 338 37 125 0 90 0 3 122 0 0 19 0 122 949
"OTU_1180" 0 0 0 113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
"OTU_1181" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78 0 0 0 0 0 0
"OTU_1182" 0 0 0 0 0 0 0 5 23 2 3 0 1 0 0 0 0 40 0 0 0 0 0 36
"OTU_1183" 0 0 0 22 0 0 0 0 21 14 32 34 0 0 0 0 0 0 0 0 4 0 0 31
"OTU_1184" 0 0 0 0 0 0 0 0 0 0 0 116 0 0 0 0 0 0 0 0 0 0 0 0
